Draw,Date,Winning Number 1,2,3,4,5,6,Extra Number ,From Last,Same As Day,Odd,Even, 1-10, 11-20, 21-30, 31-40, 41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Turnover
19/121,2019-10-29,2,10,13,19,20,24,17,24,,2,4,2,3,1,0,0,0.00,0,6.00,874550,310.50,45060,720.90,9600,16501.50,640,16631.70,320,251547.90,40,132051302
19/120,2019-10-26,1,17,24,30,40,49,48,,,3,3,1,1,2,1,1,1.00,16070680,4.50,423830,64.00,79460,201.50,9600,4227.50,640,5955.50,320,67017.60,40,42961269
19/119,2019-10-24,7,10,16,23,27,34,24,,,3,3,2,1,2,1,0,0.50,20697800,3.50,579800,103.00,52530,232.50,9600,5314.80,640,7698.00,320,92147.00,40,49350847
19/118,2019-10-22,1,6,11,31,41,47,32,"1,6",,5,1,2,1,0,1,2,0.00,0,1.00,1932660,234.00,22020,194.00,9600,6866.20,640,4515.20,320,78710.40,40,46312559
19/117,2019-10-19,1,6,19,22,42,44,25,19,19,2,4,2,1,1,0,2,0.00,0,0.50,1623750,59.50,72770,105.00,9600,3118.20,640,3380.20,320,60394.30,40,34067945
19/116,2019-10-17,14,18,19,21,45,47,49,,,4,2,0,3,1,0,2,2.00,42731540,6.00,1061030,181.50,93530,460.50,9600,8943.00,640,14380.50,320,176372.40,40,126740567
19/115,2019-10-13,10,16,27,29,37,42,44,,,3,3,1,1,2,1,1,0.00,0,4.50,1130870,147.00,92310,359.00,9600,7660.20,640,10131.50,320,149952.60,40,101612510
19/114,2019-10-08,13,23,35,36,43,47,16,13,,5,1,0,1,1,2,2,0.00,0,2.00,1727070,149.00,61810,367.00,9600,7905.20,640,10131.00,320,130838.00,40,78450179
19/113,2019-10-03,1,12,13,15,19,45,44,,,5,1,1,4,0,0,1,0.00,0,3.50,885170,127.00,65050,279.50,9600,7582.60,640,7903.00,320,132549.30,40,70488672
19/112,2019-09-29,2,3,7,10,18,48,33,"2,3",,2,4,4,1,0,0,1,0.00,0,1.50,1506440,156.50,38500,294.50,9600,7560.60,640,7980.20,320,126021.50,40,58916367
19/111,2019-09-26,2,3,11,20,27,46,4,46,,3,3,2,2,1,0,1,0.00,0,5.00,435610,78.00,74460,285.50,9600,4469.10,640,7859.80,320,79701.80,40,50482820
19/110,2019-09-24,6,17,44,45,46,49,41,44,,3,3,1,1,0,0,4,0.00,0,0.00,0,50.50,107760,201.00,9600,4264.50,640,4775.00,320,62833.00,40,43799501
19/109,2019-09-22,3,28,39,40,42,44,37,"39,42,44",,2,4,1,0,1,2,2,0.00,0,0.00,0,49.00,106880,106.50,9600,2369.00,640,2913.60,320,46540.20,40,36520954
19/108,2019-09-19,8,17,34,39,42,44,7,,,2,4,1,1,0,2,2,1.50,9528260,1.00,2097460,66.50,84100,173.50,9600,3340.00,640,4834.40,320,62998.90,40,43030039
19/107,2019-09-17,12,20,22,26,30,36,2,12,,0,6,0,2,3,1,0,0.00,0,4.50,340800,87.50,46730,260.70,9600,4119.00,640,6130.50,320,68394.40,40,39022038
19/106,2019-09-14,1,4,7,12,19,28,43,,,3,3,3,2,1,0,0,2.50,3200000,0.50,185340,291.70,19200,163.00,9600,8705.90,640,3876.50,320,98209.90,40,34151015
19/105,2019-09-12,5,23,24,25,31,33,7,,,5,1,1,0,3,2,0,1.00,51826970,1.50,2463080,176.50,55820,428.50,9600,8543.60,640,11896.60,320,146997.90,40,85805994
