Draw,Date,Winning Number 1,2,3,4,5,6,Extra Number ,From Last,Same As Day,Odd,Even, 1-10, 11-20, 21-30, 31-40, 41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Turnover
17/034,2017-03-23,5,14,17,33,41,47,16,,,5,1,1,2,0,1,2,0.00,0,0.00,0,72.00,76600,138.50,9600,3308.70,640,4263.50,320,58457.40,40,41299252
17/033,2017-03-21,8,12,20,25,37,46,2,46,,2,4,1,2,1,1,1,0.00,0,1.50,1136820,69.50,65420,206.00,9600,3472.40,640,5491.30,320,60315.50,40,38634057
17/032,2017-03-18,2,13,17,23,30,46,8,2,,3,3,1,2,2,0,1,1.00,44284630,2.50,1153050,73.00,105300,301.00,9600,4567.70,640,8740.10,320,90280.00,40,61739371
17/031,2017-03-16,1,2,11,19,40,48,4,2,,3,3,2,2,0,1,1,0.00,0,1.50,1810530,74.00,97860,245.00,9600,4877.20,640,8614.40,320,93946.00,40,59044186
17/030,2017-03-14,2,32,33,35,36,44,48,32,,2,4,1,0,0,4,1,0.50,54978560,2.50,1642850,119.50,91650,288.50,9600,6600.40,640,8661.50,320,118017.00,40,82546465
17/029,2017-03-11,1,4,20,27,32,39,15,,,3,3,2,1,1,2,0,0.00,0,2.50,1230890,93.50,87760,228.00,9600,4488.50,640,6768.90,320,92497.90,40,61983723
17/028,2017-03-09,17,19,25,35,41,44,26,19,,5,1,0,2,1,1,2,0.00,0,0.00,0,80.00,95830,175.00,9600,3765.70,640,6080.40,320,75585.30,40,55782954
17/027,2017-03-07,2,14,18,19,40,43,42,18,,2,4,1,3,0,1,1,0.00,0,1.50,1865690,58.00,128660,146.00,9600,3312.20,640,4459.00,320,70770.10,40,52372640
17/026,2017-03-04,10,18,22,23,29,32,45,,,2,4,1,1,3,1,0,0.00,0,1.50,1228690,77.20,63660,161.50,9600,4129.80,640,3988.90,320,73288.30,40,40562217
17/025,2017-03-02,6,13,31,42,43,45,34,42,,4,2,1,1,0,1,3,0.00,0,2.00,932400,48.50,102530,132.50,9600,2658.70,640,3392.70,320,51819.30,40,36654865
17/024,2017-02-28,15,20,24,34,42,44,7,20,,1,5,0,2,1,1,2,1.00,75969490,3.50,1586860,137.00,108100,466.50,9600,8350.70,640,13736.00,320,156262.50,40,113255035
17/023,2017-02-25,4,12,19,20,25,26,8,,25,2,4,1,3,2,0,0,0.00,0,6.50,448840,176.00,44200,602.20,9600,8037.40,640,14309.20,320,134910.20,40,78285538
17/022,2017-02-23,13,15,16,32,34,46,10,"13,32",,2,4,0,3,0,2,1,0.00,0,1.00,3717370,96.20,103040,187.50,9600,4916.10,640,6536.50,320,95795.00,40,70561689
17/021,2017-02-21,1,7,13,29,32,44,20,,,4,2,2,1,1,1,1,0.00,0,1.50,2056060,93.50,87950,227.00,9600,5361.40,640,6640.60,320,107243.40,40,64109820
17/020,2017-02-18,5,8,12,17,20,37,45,"5,8",,3,3,2,3,0,1,0,0.00,0,3.00,732060,120.50,48600,193.50,9600,5863.60,640,5207.50,320,98733.10,40,50583895
17/019,2017-02-16,5,8,23,34,41,44,7,,,3,3,2,0,1,1,2,0.00,0,1.00,2373940,86.00,73610,171.50,9600,4372.50,640,5522.90,320,78333.60,40,49512995
17/018,2017-02-14,14,16,21,28,43,46,26,21,14,2,4,0,2,2,0,2,0.00,0,0.00,0,55.00,102300,188.00,9600,3220.50,640,5196.70,320,66099.30,40,43760741
17/017,2017-02-12,7,21,26,30,38,47,15,,,3,3,1,0,3,1,1,0.00,0,1.00,1957250,42.50,122800,168.00,9600,3117.20,640,4405.40,320,63005.60,40,40512233
17/016,2017-02-09,3,12,13,19,24,45,40,,,4,2,1,3,1,0,1,2.00,6965180,0.00,0,85.00,62010,175.00,9600,4505.60,640,4350.80,320,79598.50,40,43744019
17/015,2017-02-07,6,11,22,25,32,33,24,"25,33",,3,3,1,1,2,2,0,0.00,0,3.50,461860,136.20,31650,234.00,9600,5330.80,640,5756.80,320,82861.60,40,41958456
17/014,2017-02-04,7,14,25,28,33,40,26,14,,3,3,1,1,2,2,0,1.00,8000000,4.00,448720,57.50,83240,265.00,9600,3756.10,640,6568.40,320,70131.60,40,42600803
17/013,2017-02-01,13,14,18,23,29,35,45,,,4,2,0,3,2,1,0,2.50,35772980,14.50,676600,441.00,59320,1041.00,9600,19490.30,640,23746.70,320,348856.70,40,214619874
17/012,2017-01-28,8,15,25,30,34,40,42,,,2,4,1,1,2,2,0,0.00,0,0.00,0,56.50,77690,85.00,9600,2896.40,640,3156.40,320,52691.90,40,33050546
17/011,2017-01-26,13,24,28,29,31,44,10,,,3,3,0,1,3,1,1,1.00,25496990,2.00,1282760,64.00,106890,203.00,9600,4144.00,640,5947.10,320,80089.60,40,52782918
17/010,2017-01-24,2,5,23,27,36,43,20,27,,4,2,2,0,2,1,1,0.00,0,0.00,0,72.00,90740,151.00,9600,3677.00,640,4392.20,320,72409.30,40,48248467
17/009,2017-01-21,8,27,28,37,38,49,33,,,3,3,1,0,2,2,1,0.00,0,1.50,822300,121.00,27180,206.50,9600,5023.10,640,5446.70,320,72051.20,40,34923225
17/008,2017-01-19,1,2,13,23,35,43,18,,,5,1,2,1,1,1,1,1.00,13724920,0.50,1908300,92.00,55310,173.00,9600,3946.70,640,5035.60,320,66267.30,40,41535280
17/007,2017-01-17,26,27,28,36,42,47,33,,,2,4,0,0,3,1,2,0.00,0,1.00,1603240,55.00,77730,164.50,9600,3348.20,640,4387.90,320,57526.20,40,35504765
17/006,2017-01-15,1,6,22,37,44,48,35,,,2,4,2,0,1,1,2,1.50,16516210,1.00,2334620,90.00,69170,237.50,9600,4655.00,640,6043.50,320,88271.10,40,51532305
17/005,2017-01-12,18,25,27,30,40,43,6,,,3,3,0,1,3,1,1,0.00,0,7.00,247520,67.00,68960,380.50,9600,3533.50,640,9113.90,320,64366.70,40,44627272
17/004,2017-01-10,2,7,14,26,38,39,12,"7,14",,2,4,2,1,1,2,0,0.50,22855160,0.50,2289860,130.00,46970,238.70,9600,5061.40,640,7125.90,320,83023.20,40,51680720
17/003,2017-01-07,7,10,14,29,45,46,19,14,7,3,3,2,1,1,0,2,0.00,0,0.00,0,35.00,152100,138.00,9600,2758.50,640,4707.00,320,56410.10,40,39774959
17/002,2017-01-05,5,14,20,21,36,49,39,,5,3,3,1,2,1,1,1,0.00,0,1.00,1714840,49.50,92380,121.00,9600,2992.50,640,3321.20,320,54059.20,40,34934979
17/001,2017-01-03,4,11,22,29,37,46,18,,,3,3,1,1,2,1,1,2.50,30252220,4.50,1528180,186.50,98320,582.50,9600,11114.40,640,17763.20,320,215463.50,40,143310824
16/151,2016-12-31,8,9,12,15,17,28,33,"15,17",,3,3,2,3,1,0,0,3.00,11582010,3.50,532230,210.20,23630,339.00,9600,8858.60,640,9465.40,320,135682.10,40,57457946
16/150,2016-12-29,2,11,13,15,17,21,26,,,5,1,1,4,1,0,0,0.00,0,4.00,637470,210.50,32300,282.00,9600,6851.40,640,7078.20,320,107779.00,40,59905335
16/149,2016-12-25,3,4,10,26,37,43,41,4,,3,3,3,0,1,1,1,0.00,0,0.00,0,65.50,79250,106.50,9600,3547.70,640,3350.20,320,66716.50,40,39435160
16/148,2016-12-23,4,14,16,25,32,35,47,32,,2,4,1,2,1,2,0,0.50,27442250,1.50,1755720,56.50,124290,179.50,9600,4176.20,640,5200.50,320,78738.70,40,52784003
16/147,2016-12-20,5,28,32,34,37,48,39,28,,2,4,1,0,1,3,1,0.00,0,2.00,1101720,70.00,83940,151.00,9600,3288.00,640,4801.60,320,63777.90,40,44044595
16/146,2016-12-18,3,10,21,26,28,38,29,,,2,4,2,0,3,1,0,0.00,0,0.00,0,95.50,43220,197.00,9600,4908.40,640,5555.90,320,82328.10,40,39713694
16/145,2016-12-15,15,19,20,32,33,34,23,,15,3,3,0,3,0,3,0,0.50,13476990,1.50,1297470,69.00,75210,130.50,9600,2810.70,640,4297.30,320,55831.40,40,38736961
16/144,2016-12-13,7,14,26,31,38,44,37,7,,2,4,1,1,1,2,1,0.50,15276750,1.00,2168560,73.50,78670,140.50,9600,3422.90,640,4229.10,320,64348.90,40,43247428
16/143,2016-12-10,7,22,32,33,34,39,45,39,,3,3,1,0,1,4,0,0.00,0,0.50,1542150,64.00,64250,120.00,9600,3237.60,640,3422.50,320,55143.10,40,33005201
16/142,2016-12-08,9,24,26,28,37,39,29,,,3,3,1,0,3,2,0,1.00,14952940,2.50,737850,54.00,91090,192.00,9600,3923.90,640,5847.70,320,72867.70,40,41952244
16/141,2016-12-06,3,7,17,29,32,49,11,,,5,1,2,1,1,1,1,0.50,18838130,1.00,2004950,82.00,65200,279.50,9600,4242.80,640,7968.40,320,78458.40,40,47731773
16/140,2016-12-03,8,13,23,30,47,48,7,,,3,3,1,1,2,0,2,0.00,0,1.00,1607750,73.00,58730,202.50,9600,3856.20,640,5739.20,320,66268.40,40,38291968
16/139,2016-12-01,9,15,18,21,24,37,16,"18,24",,4,2,1,2,2,1,0,0.00,0,1.00,1652470,44.50,99020,141.00,9600,2726.00,640,4234.50,320,51792.70,40,34501896
16/138,2016-11-29,4,11,18,22,24,49,25,4,,2,4,1,2,2,0,1,1.00,8000000,3.00,495440,73.00,54290,186.50,9600,3650.40,640,4964.70,320,66966.80,40,35709168
16/137,2016-11-26,1,2,3,4,7,10,33,3,,3,3,6,0,0,0,0,23.50,2815140,6.00,38400,1334.90,19200,604.00,9600,24964.10,640,13820.10,320,235153.10,40,89142376
16/136,2016-11-24,3,9,24,31,38,49,41,38,24,4,2,2,0,1,2,1,0.00,0,1.50,2606900,106.50,97910,260.00,9600,7497.10,640,8493.00,320,143131.20,40,82193372
16/135,2016-11-22,12,13,16,18,38,40,5,,,1,5,0,4,0,2,0,0.00,0,1.00,3359140,157.50,56870,298.70,9600,7203.40,640,9193.60,320,124138.50,40,74063471
16/134,2016-11-19,2,6,23,24,37,42,32,,,2,4,2,0,2,1,1,0.00,0,3.50,766810,83.00,86220,262.00,9600,4887.50,640,7397.40,320,94266.70,40,58227586
16/133,2016-11-17,5,18,26,28,30,45,33,18,,2,4,1,1,3,0,1,0.00,0,0.00,0,88.00,72070,231.00,9600,4868.60,640,6713.80,320,88434.80,40,52672914
16/132,2016-11-15,10,15,17,18,27,40,26,27,15,3,3,1,3,1,1,0,0.00,0,0.50,2124700,51.50,110010,197.50,9600,3922.10,640,5695.30,320,77323.30,40,46087431
16/131,2016-11-13,2,16,27,29,34,41,42,,,3,3,1,1,2,1,1,0.00,0,0.00,0,33.50,173040,117.00,9600,2749.70,640,3825.00,320,57810.70,40,41380026
16/130,2016-11-10,3,17,38,39,46,49,37,3,,4,2,1,1,0,2,2,0.00,0,0.50,1691260,45.00,100220,93.70,9600,2210.50,640,3206.20,320,43677.70,40,32365780
16/129,2016-11-08,3,5,6,11,34,42,28,42,,3,3,3,1,0,1,1,1.50,28255500,5.50,519940,101.00,75500,334.50,9600,6214.10,640,10081.70,320,122732.60,40,67173953
16/128,2016-11-05,9,12,31,39,42,46,48,,,3,3,1,1,0,2,2,0.00,0,2.50,1013580,62.50,108110,183.50,9600,3677.20,640,5625.50,320,74273.40,40,50833134
16/127,2016-11-03,6,14,18,22,30,38,47,,,0,6,1,2,2,1,0,,,,,,,,,,,,,,,48176818
16/126,2016-11-01,1,2,21,31,33,36,8,,1,4,2,2,0,1,3,0,0.00,0,2.00,959820,101.00,50680,257.90,9600,5359.20,640,7498.90,320,89801.50,40,48075501
16/125,2016-10-29,22,26,32,38,43,47,42,,,2,4,0,0,2,2,2,0.00,0,2.00,914890,62.50,78070,146.00,9600,2658.50,640,4190.00,320,51467.70,40,36865902
16/124,2016-10-27,8,16,17,34,35,44,41,"8,17",,2,4,1,2,0,2,1,0.00,0,1.00,1738780,55.50,83540,85.50,9600,2713.50,640,2806.50,320,48327.30,40,33568510
16/123,2016-10-25,7,8,12,17,22,29,14,12,,3,3,2,2,2,0,0,2.50,30026600,9.50,528640,329.00,40700,763.00,9600,16338.80,640,17687.80,320,264959.80,40,131171453
16/122,2016-10-22,3,12,13,20,33,43,35,,,4,2,1,3,0,1,1,0.00,0,1.00,1468460,138.50,28270,211.20,9600,6355.30,640,4660.20,320,72592.70,40,39347881
16/121,2016-10-20,2,4,7,15,28,45,19,28,,3,3,3,1,1,0,1,0.00,0,1.00,1826770,72.00,67650,178.90,9600,3850.00,640,5051.50,320,71046.10,40,40782879
16/120,2016-10-18,8,27,28,30,38,41,12,"27,28",,2,4,1,0,3,1,1,0.50,23998200,5.50,325810,111.00,43050,339.00,9600,5618.10,640,8959.10,320,97492.30,40,49527524
16/119,2016-10-15,7,12,18,27,28,40,10,"27,40",,2,4,1,2,2,1,0,0.00,0,2.50,627400,62.50,66920,266.70,9600,4111.20,640,7162.20,320,72335.10,40,40495746
16/118,2016-10-13,2,9,16,27,32,40,46,16,,2,4,2,1,1,2,0,0.00,0,1.00,1972210,55.00,95620,133.00,9600,3042.10,640,3491.50,320,61434.60,40,39346088
16/117,2016-10-11,16,19,24,28,36,42,13,"28,36",,1,5,0,2,2,1,1,0.00,0,1.50,995050,56.00,71070,176.00,9600,2682.20,640,4277.80,320,48724.30,40,32701374
16/116,2016-10-09,12,26,28,36,45,49,9,,,2,4,0,1,2,1,2,1.00,25102070,2.50,746500,105.00,47390,403.50,9600,4484.10,640,11189.90,320,81093.40,40,50444713
16/115,2016-10-06,5,11,13,19,33,48,34,,,5,1,1,3,0,1,1,0.00,0,0.50,1869700,79.00,63110,187.50,9600,4382.00,640,5303.30,320,80195.20,40,42975530
16/114,2016-10-04,2,6,10,28,38,40,30,,,0,6,3,0,1,2,0,0.50,25918710,1.00,1874820,92.00,54340,334.40,9600,5360.30,640,8079.30,320,93002.20,40,49409715
16/113,2016-10-02,7,8,21,22,34,46,6,,,2,4,2,0,2,1,1,0.00,0,0.50,1799120,59.00,81310,253.00,9600,4314.10,640,6837.90,320,78362.50,40,43875706
16/112,2016-09-29,14,20,28,33,41,48,40,28,,2,4,0,2,1,1,2,0.00,0,1.00,1999100,43.00,123970,132.00,9600,2773.00,640,3713.00,320,54383.20,40,38983073
16/111,2016-09-27,12,16,19,23,28,32,27,,,2,4,0,3,2,1,0,0.00,0,1.00,1568520,72.70,57530,161.00,9600,3493.60,640,4486.40,320,61651.40,40,35507837
16/110,2016-09-24,1,17,20,34,43,44,42,"43,44",,3,3,1,2,0,1,2,1.00,26170670,1.00,2366470,50.50,124960,136.00,9600,3255.50,640,4867.50,320,64387.70,40,46035258
16/109,2016-09-22,5,30,38,43,44,47,14,44,,3,3,1,0,1,1,3,0.00,0,0.00,0,47.00,123560,121.00,9600,2659.50,640,4238.00,320,55294.80,40,41455850
16/108,2016-09-20,4,16,19,27,41,44,25,,,3,3,1,2,1,0,2,0.50,20720150,4.00,591400,81.70,77210,181.00,9600,3771.20,640,4734.70,320,67528.80,40,47588946
16/107,2016-09-17,3,18,21,25,31,42,26,25,,4,2,1,1,2,1,1,0.00,0,1.00,1874420,50.00,99960,126.00,9600,2897.70,640,3861.10,320,56066.50,40,37545147
16/106,2016-09-15,24,25,34,35,44,49,30,49,,3,3,0,0,2,2,2,0.00,0,1.50,1158690,90.50,51210,117.00,9600,3102.00,640,3627.60,320,52859.80,40,35401214
16/105,2016-09-13,1,13,19,21,38,49,23,38,13,5,1,1,2,1,1,1,1.50,55625480,11.00,710240,330.00,63130,775.50,9600,16064.20,640,21582.60,320,288971.40,40,173013664
16/104,2016-09-10,7,16,32,37,38,46,22,,,2,4,1,1,0,3,1,0.00,0,1.50,1500440,58.50,102590,204.00,9600,4090.30,640,5572.40,320,72458.70,40,47678029
16/103,2016-09-08,3,4,5,26,45,48,14,48,,3,3,3,0,1,0,2,0.00,0,1.00,2204510,71.50,82210,172.00,9600,4113.50,640,5325.10,320,76951.80,40,46696732
16/102,2016-09-06,11,15,33,41,43,48,27,43,,5,1,0,2,0,1,3,0.00,0,2.50,893960,63.00,94590,132.50,9600,3244.50,640,4604.90,320,62258.60,40,43861879
16/101,2016-09-04,8,25,26,28,38,43,22,8,,2,4,1,0,3,1,1,0.50,18604190,3.00,650000,83.00,62650,223.00,9600,4483.40,640,6810.60,320,81443.00,40,45802000
16/100,2016-09-01,8,11,13,30,34,49,2,34,,3,3,1,2,1,1,1,0.00,0,1.00,1843760,56.00,87790,168.50,9600,3216.50,640,4759.60,320,65687.10,40,39507677
16/099,2016-08-30,14,20,21,31,34,42,25,,,2,4,0,2,1,2,1,0.50,14445740,1.00,2148580,64.50,88830,156.00,9600,3311.40,640,4232.70,320,65294.30,40,43191955
16/098,2016-08-27,3,6,13,24,37,43,30,,,4,2,2,1,1,1,1,0.00,0,1.00,1516570,51.50,78520,124.50,9600,2735.90,640,3869.20,320,54343.00,40,32349060
16/097,2016-08-25,4,20,34,35,40,47,3,,,2,4,1,1,0,3,1,1.00,36248280,3.00,924990,77.50,95480,219.50,9600,4287.90,640,5895.90,320,82751.30,40,56255099
16/096,2016-08-23,14,16,24,25,43,44,3,,,2,4,0,2,2,0,2,0.50,55846660,2.00,1899430,128.50,78830,286.50,9600,7145.50,640,8763.00,320,122840.10,40,79392309
16/095,2016-08-20,2,3,15,28,46,48,33,"3,46",,2,4,2,1,1,0,2,0.00,0,3.00,963100,64.50,119450,209.00,9600,4705.00,640,6905.70,320,92097.60,40,59404718
16/094,2016-08-18,3,17,20,22,45,46,30,"20,46",,3,3,1,2,1,0,2,0.00,0,2.00,1436730,70.50,108680,169.50,9600,3753.50,640,5137.50,320,74926.70,40,55039851
16/093,2016-08-16,5,12,14,20,27,46,26,,,2,4,1,3,1,0,1,0.00,0,2.00,1124540,90.00,66630,214.50,9600,4774.90,640,6528.40,320,84946.70,40,50146104
16/092,2016-08-13,3,4,11,23,44,47,24,"11,23",,4,2,2,1,1,0,2,0.00,0,1.00,1890900,61.50,81990,244.50,9600,3899.50,640,6334.50,320,72803.70,40,43768215
16/091,2016-08-11,10,11,19,23,30,38,13,,11,3,3,1,2,2,1,0,0.00,0,1.00,1689050,93.50,48170,184.00,9600,4573.80,640,5379.50,320,79489.00,40,40682664
16/090,2016-08-09,5,9,13,22,34,39,40,,9,4,2,2,1,1,2,0,0.00,0,0.00,0,67.00,66640,123.50,9600,3661.80,640,3662.20,320,66245.10,40,36331042
16/089,2016-08-06,2,17,23,32,36,40,3,,,2,4,1,1,1,3,0,1.00,8000000,1.50,1068700,57.50,74340,156.50,9600,2705.20,640,4522.70,320,49877.80,40,34111314
16/088,2016-08-04,10,16,34,41,45,47,7,,,3,3,1,1,0,1,3,1.00,14233140,0.00,0,49.50,111930,117.00,9600,2834.50,640,3819.20,320,52011.30,40,39743010
16/087,2016-08-02,7,11,12,19,21,39,49,21,,5,1,1,3,1,1,0,0.00,0,1.00,1127160,83.40,36040,212.00,9600,4785.20,640,5352.50,320,73520.80,40,33349936
16/086,2016-07-30,9,21,29,33,35,48,28,35,,5,1,1,0,2,2,1,1.00,15741020,4.50,410180,88.50,55610,173.50,9600,3938.70,640,5565.90,320,70315.70,40,41301316
16/085,2016-07-28,12,20,24,35,39,47,15,,,3,3,0,2,1,2,1,0.50,16042160,0.00,0,62.50,93110,149.50,9600,2916.10,640,4024.60,320,56043.70,40,42258493
16/084,2016-07-26,3,14,17,21,28,49,12,,,4,2,1,2,2,0,1,0.00,0,0.00,0,71.00,56140,160.00,9600,3404.70,640,4631.20,320,57076.10,40,34132637
16/083,2016-07-24,11,18,26,31,39,44,24,"11,44",,3,3,0,2,1,2,1,1.00,68372410,4.50,1068550,140.00,91590,343.50,9600,7161.60,640,10564.40,320,136822.00,40,96225046
16/082,2016-07-22,10,11,22,41,44,46,35,46,22,2,4,1,1,1,0,3,0.50,107893900,6.50,1397430,320.00,75690,778.50,9600,18226.50,640,21103.50,320,322335.40,40,195054501
16/081,2016-07-19,7,21,27,33,46,47,4,7,,5,1,1,0,2,1,2,0.00,0,5.00,1376260,267.00,68720,624.50,9600,13840.00,640,18292.30,320,243069.80,40,149707089
16/080,2016-07-16,1,2,7,16,24,34,36,16,16,2,4,3,1,1,1,0,0.00,0,3.50,452100,86.50,48780,183.50,9600,4277.30,640,4751.80,320,73708.50,40,38075019
16/079,2016-07-14,16,21,30,36,38,47,48,,,2,4,0,1,2,2,1,0.00,0,2.50,607750,34.50,117440,189.50,9600,2432.20,640,5500.50,320,50352.20,40,33853850
16/078,2016-07-12,12,20,31,32,35,45,18,"20,31",12,3,3,0,2,0,3,1,1.00,36859760,1.50,2082640,71.50,116510,230.00,9600,4464.50,640,6954.50,320,88698.10,40,62453477
16/077,2016-07-09,7,19,20,28,30,31,29,31,,3,3,1,2,2,1,0,0.00,0,4.50,422210,86.00,58910,326.00,9600,4600.30,640,7364.80,320,82583.20,40,47505745
16/076,2016-07-07,13,14,21,31,38,44,22,"13,44",,3,3,0,2,1,2,1,0.00,0,1.00,2217530,54.00,109500,182.00,9600,3437.50,640,4887.90,320,65228.90,40,45122563
16/075,2016-07-05,1,6,13,17,34,44,38,,,3,3,2,2,0,1,1,0.00,0,0.50,2038650,54.00,100670,133.90,9600,3557.80,640,4431.90,320,68640.70,40,41965751
16/074,2016-07-02,2,8,16,32,33,37,5,"2,16",2,2,4,2,1,0,3,0,0.00,0,2.00,595420,61.00,52050,261.50,9600,3097.90,640,5009.10,320,51487.70,40,31258661
16/073,2016-06-30,2,5,6,7,16,29,35,7,,3,3,4,1,1,0,0,1.00,22324120,0.50,1581440,230.00,19200,211.00,9600,8060.80,640,5633.90,320,107534.50,40,46468294
16/072,2016-06-28,7,13,23,30,32,48,36,,,3,3,1,1,2,1,1,0.00,0,3.00,631300,76.00,66450,263.00,9600,4208.90,640,6664.40,320,77622.70,40,45057208
16/071,2016-06-25,10,15,22,38,42,43,18,,,2,4,1,1,1,1,2,0.50,23796070,3.00,717390,59.00,97270,208.50,9600,3335.50,640,4939.90,320,64268.70,40,44545953
16/070,2016-06-23,6,9,21,35,48,49,29,"9,21",,4,2,2,0,1,1,2,0.00,0,1.50,1106430,107.00,41360,212.50,9600,6044.50,640,6232.00,320,81408.40,40,43180821
16/069,2016-06-21,9,10,20,21,38,39,49,,21,3,3,2,1,1,2,0,0.00,0,11.00,132130,168.10,23050,298.00,9600,5396.10,640,7080.00,320,81649.80,40,41656253
16/068,2016-06-18,4,5,8,12,34,37,24,,,2,4,3,1,0,2,0,0.00,0,3.50,345000,51.00,63130,225.50,9600,3293.60,640,5901.40,320,62280.10,40,32405053
16/067,2016-06-16,19,22,27,29,45,48,4,,,4,2,0,1,3,0,2,2.00,26446460,0.50,2755460,108.50,84650,239.50,9600,4964.50,640,6971.90,320,99377.90,40,68362653
16/066,2016-06-14,13,15,30,36,44,49,37,,,3,3,0,2,1,1,2,0.00,0,4.00,787320,75.50,111230,223.00,9600,5350.50,640,6009.00,320,101368.40,40,64100768
16/065,2016-06-11,10,14,23,29,40,42,11,42,,2,4,1,1,2,1,1,0.00,0,2.50,1104710,61.00,120730,209.50,9600,3674.90,640,6192.60,320,75133.10,40,54783133
16/064,2016-06-08,4,13,34,36,42,48,19,,,1,5,1,1,0,2,2,0.00,0,0.50,2364140,53.50,117830,186.00,9600,3727.40,640,5157.70,320,71845.00,40,48176130
16/063,2016-06-06,2,5,8,12,20,49,47,8,,2,4,3,2,0,0,1,0.00,0,1.50,671440,140.00,19200,175.00,9600,5356.70,640,4193.50,320,74950.50,40,31165111
16/062,2016-06-04,8,16,21,32,38,48,11,,,1,5,1,1,1,2,1,0.00,0,1.00,1613960,68.50,62830,165.50,9600,3787.50,640,4452.70,320,61520.40,40,36522960
16/061,2016-06-02,3,4,19,24,26,34,38,24,,2,4,2,1,2,1,0,0.00,0,1.00,1577280,45.00,93460,123.20,9600,3391.00,640,3386.60,320,61411.90,40,34163569
16/060,2016-05-31,21,24,36,38,39,44,49,"21,36",,2,4,0,0,2,3,1,1.00,8000000,0.00,0,37.50,128470,142.00,9600,2720.20,640,3742.00,320,51042.60,40,36258249
16/059,2016-05-28,21,23,32,33,36,42,20,36,,3,3,0,0,2,3,1,1.00,21775340,4.00,527960,88.00,63990,136.00,9600,3810.00,640,4440.10,320,65371.80,40,43057874
16/058,2016-05-26,9,15,36,38,46,48,22,46,,2,4,1,1,0,2,2,0.00,0,3.00,622940,69.50,71700,219.00,9600,3644.90,640,5938.00,320,66199.90,40,41989634
16/057,2016-05-24,14,18,33,34,35,46,42,,,2,4,0,2,0,3,1,0.00,0,0.00,0,55.50,88080,139.00,9600,3106.20,640,3762.00,320,55565.10,40,37368734
16/056,2016-05-21,6,13,23,25,44,48,11,,,3,3,1,1,2,0,2,1.00,22833480,1.00,2209700,60.00,98200,156.50,9600,3626.50,640,5427.70,320,68343.10,40,45337573
16/055,2016-05-19,2,8,20,24,37,39,18,24,,2,4,2,1,1,2,0,0.00,0,2.50,843540,63.50,88560,161.50,9600,3328.40,640,5675.50,320,64110.40,40,43538318
16/054,2016-05-17,1,19,23,24,32,40,35,,,3,3,1,1,2,2,0,0.00,0,0.00,0,50.00,100140,117.00,9600,2765.60,640,3269.00,320,52736.30,40,36676426
16/053,2016-05-15,2,11,25,28,36,46,42,,,2,4,1,1,2,1,1,1.00,13855260,1.00,1951750,76.00,68480,175.00,9600,4174.50,640,4550.00,320,81800.60,40,43293096
16/052,2016-05-12,4,12,19,20,27,49,21,20,12,3,3,1,3,1,0,1,0.00,0,1.50,1109510,61.00,72750,144.50,9600,3479.40,640,4339.20,320,62253.20,40,36454079
16/051,2016-05-10,20,26,28,32,40,45,43,,,1,5,0,1,2,2,1,2.00,84659780,9.50,1880270,572.00,83270,1072.00,9600,27315.10,640,31992.90,320,509572.10,40,350471901
16/050,2016-05-05,6,7,12,15,27,36,29,,,3,3,2,2,1,1,0,0.00,0,15.00,664670,513.00,51820,1172.40,9600,25463.50,640,29673.30,320,433678.60,40,235990985
16/049,2016-04-30,11,20,28,29,44,49,40,28,,3,3,0,2,2,0,2,0.00,0,2.00,3482800,212.00,87610,613.00,9600,11979.50,640,17886.40,320,234383.80,40,147556973
16/048,2016-04-26,1,3,25,27,28,45,12,,,5,1,2,0,3,0,1,0.00,0,5.00,705190,152.00,61850,490.00,9600,10931.60,640,13949.40,320,181787.10,40,91234839
16/047,2016-04-23,2,10,16,35,46,47,49,,,2,4,2,1,0,1,2,0.00,0,1.50,2242310,89.50,100210,226.50,9600,5551.00,640,7470.50,320,103025.80,40,68295359
16/046,2016-04-21,3,5,14,15,39,41,21,5,,5,1,2,2,0,1,1,0.00,0,1.00,3062560,78.50,104030,206.00,9600,4340.10,640,6601.90,320,85438.70,40,60595924
16/045,2016-04-19,5,8,30,34,45,48,3,45,,2,4,2,0,1,1,2,0.00,0,1.00,2427070,75.50,85720,236.00,9600,4381.00,640,6471.80,320,79439.60,40,52034790
16/044,2016-04-17,16,24,28,35,45,46,38,46,,2,4,0,1,2,1,2,0.00,0,2.00,1054360,77.00,73020,227.00,9600,4130.00,640,5657.00,320,72634.60,40,46271339
16/043,2016-04-14,14,21,25,27,44,46,3,"21,25,46",14,3,3,0,1,3,0,2,0.00,0,1.00,2151790,50.00,114760,150.50,9600,2989.00,640,4681.60,320,59126.20,40,42564768
16/042,2016-04-12,21,25,28,33,46,48,10,,,3,3,0,0,3,1,2,0.50,30011980,3.50,720630,77.00,87350,198.00,9600,3940.00,640,5750.50,320,75207.00,40,51386592
16/041,2016-04-09,3,6,13,38,43,44,31,,,3,3,2,1,0,1,2,0.00,0,1.00,1915350,66.50,76800,167.00,9600,3645.70,640,4551.40,320,66922.80,40,40929150
